name,unit,producer,kved
"&#34;Сафір М&#34;-3151 PD-11-У2*(-30..+50)-0,5-25,0 кгс/см.кв.-05",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9026 20 20 00
"&#34;Сафір М&#34;-3171 PD-11-У2*(-30..+50)-0,5-400,0 кгс/см.кв.-05",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9026 20 20 00
"&#34;Сафір М&#34;-5161-11-У2*(-30..+50)-0,25-25,0 кгс/см.кв.-42-H33",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9026 20 20 00
5Ц4.679.069-14 Термометричний чутливий елемент ЭЧП-0183,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
BS-12/2x18W for LED IP65 світильник під лінійну світлодіодну лампу,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
DR-4524 Mean Well імпульсне джерело живлення,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
GPS навігатор PRESTIGIO,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Jd1a-90 регулятор швидкості двигуна,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
"KINCO K-380 Шина розширення входів вх. AC85-265V, вих.DC5V(Max/1300mA)",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8544 42 90 98
KINCO K508-40AR Контроллер,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8537 10 91 00
KINCO K522-16XR Модуль,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8537 10 91 00
KINCO-K523-16DR Контроллер,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8537 10 91 00
KINCO-K531-04IV Контроллер 4-х аналогових вх. 4-20 mA/1-5V/0-20mA/0-10V,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8537 10 91 00
"PH-метр 220,7/П",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9027 80 11 00
RP1D060D4 Релє напівпровідникове,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
"RPM1PD адаптер зі світлодіодом на рейку для RAP, RP",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
TOPCON AT-B4 нівелір оптичний в комплекті з нівелірною рейкою 5м. і штативом,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
WAD-A-MAX-29D-96,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
ZB4W34 Кнопка з підсвічуванням,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Авансы,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Авт. викл. е. next 3P 100A (К100),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Авт. вим. 3Р 63А (С63),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
